Shop_Name,Cuisine,Rating,Average_Cost,Cost_Category,Street,Area,Total_Cuisine
Biryani Khazana,Biryani,4.3,200.0,medium,Koramangala,Koramangala,1
800 Momos,Chinese,3.7,75.0,low,Koramangala,Koramangala,1
World of asia,"Beverages, Chinese",4.0,125.0,low,BTM,BTM,2
Ghar Ka Khana,North Indian,4.2,110.0,low,BTM,BTM,1
Thalassery Restaurant,"South Indian, Biryani, Kerala, North Indian, Chinese",3.9,150.0,medium,5th Block,Koramangala,5
KANNUR FOOD POINT,"Kerala, Chinese",3.9,150.0,medium,SG palaya,BTM,2
KANNOOR RESTAURANT,"North Indian, Chinese",4.0,125.0,low,BTM,BTM,2
Fattoush,"Arabian, Beverages, Biryani, Chinese, Desserts, North Indian",3.9,200.0,medium,BTM,BTM,6
Nizams Biryani,"Biryani, Juices, Kebabs",3.6,100.0,low,Venkatapura Main Rd,HSR,3
Nagarjuna,"Andhra, South Indian",4.3,300.0,high,KHB Colony,Koramangala,2
Punjabi Rasoi,North Indian,4.0,400.0,high,Sector 3,HSR,1
CRAVY WINGS - The American Diner,"American, Fast Food",4.3,150.0,medium,Bannerghatta Road,Jayanagar,2
Barista,"Beverages, Cafe, Snacks",3.8,175.0,medium,80 Feet Peripheral Road,Koramangala,3
BIRIYANI TASTE MASTH(BTM),"North Indian, South Indian",4.2,150.0,medium,Btm,BTM,2
Leon Grill,"Turkish, Portuguese, American, Grill",4.3,150.0,medium,5th Block,Koramangala,4
Khichdi Experiment,"Home Food, Healthy Food, Indian",4.8,100.0,low,Koramangala,Koramangala,3
Tandoori Merchant,"Andhra, Biryani, Chinese, Desserts, Fast Food, Seafood, South Indian",4.2,50.0,low,4th Cross,BTM,7
Chinese Bae,"Chinese, Thai",4.5,225.0,medium,BTM,BTM,2
Kitchens of China,Chinese,4.1,175.0,medium,Koramangala,Koramangala,1
Natural Ice Cream,Ice Cream,4.6,75.0,low,Near Wipro Park Signal,Koramangala,1
Abhiruchi Hotel,"Chinese, Hyderabadi, Biryani, Indian, South Indian, Andhra, Tandoor",4.0,125.0,low,BTM,BTM,7
Punjabi Swag,"Punjabi, North Indian, Chinese, Fast Food, Healthy Food, Mughlai, Desserts",3.7,200.0,medium,16th Main Road,BTM,7
Truffles,American,4.3,225.0,medium,5th Block,Koramangala,1
Gyaani Da Punjabi Dhaba,North Indian,4.0,250.0,medium,2nd Stage,BTM,1
Biriyani Bhatti,"Biryani, Hyderabadi, Andhra, North Indian, South Indian",4.1,175.0,medium,Kuvempu Nagar,BTM,5
Khawa Karpo,Chinese,4.3,89.0,low,Koramangala,Koramangala,1
99 VARIETY DOSA AND JUICE-Malli mane food court,"Fast Food, Juices, North Indian",4.1,50.0,low,Koramangala 1st block,Koramangala,3
Purani Dilli By Anand Sweets,"North Indian, Chaat, Snacks, Fast Food",4.3,200.0,medium,5th Block,Koramangala,4
XO Belgian Waffle,Desserts,4.3,125.0,low,Koramangala,Koramangala,1
BIRYANI CRAFTS,Indian,4.1,250.0,medium,BTM,BTM,1
Madeena Hotel,"Desserts, Mughlai, Seafood",4.1,250.0,medium,5th Block Kormangala,Koramangala,3
Corner House Ice Cream,"Ice Cream, Desserts",4.6,125.0,low,7th Block,Koramangala,2
NIC Natural Ice Creams,"Ice Cream, Desserts",4.2,60.0,low,Koramangla,Koramangala,2
Just Shawarma,Fast Food,4.0,125.0,low,5th block,Koramangala,1
La Pino'z Pizza,Italian,3.9,125.5,low,4th Block,Koramangala,1
Mandya Gowdru Donne Biryani,Biryani,0.0,175.0,medium,HSR,HSR,1
Dindigul Thalapakatti Biriyani,North Indian,4.1,325.0,high,HSR,HSR,1
Delhi Food Point,North Indian,4.1,66.0,low,1st Block,Koramangala,1
Easy Bites,"Snacks, American",3.8,100.0,low,9th Main Rd,HSR,2
Mad Over Donuts,Desserts,3.9,175.0,medium,7th Block,Koramangala,1
Village Donne Biriyani,South Indian,3.6,150.0,medium,Koramangala,Koramangala,1
R.B Food Point,"Chinese, North Indian",3.7,175.0,medium,Jay Bheema Nagar,BTM,2
Paradise Biryani,"Biryani, Kebabs",4.0,150.0,medium,Koramangala 6th block,Koramangala,2
New Tasty Cafeteria,"Andhra, Chettinad, Chinese, Mughlai, North Indian",4.0,175.0,medium,Maruthi Nagar,BTM,5
Junior Kuppanna,"Chettinad, South Indian",4.0,275.0,high,Sector 6,HSR,2
The Bowl Company,"Continental, Indian, Pan-Asian, Oriental",4.3,175.0,medium,Jakkasandra Village,Koramangala,4
Hotel Savitha Family Restaurant,"North Indian, South Indian",4.0,76.5,low,4th block,Koramangala,2
Biryani Pot,"North Indian, Biryani",4.0,250.0,medium,Madiwala Junction,BTM,2
Bowl 99,"North Indian, South Indian",4.4,100.0,low,kormangala,Koramangala,2
Kritunga,"Andhra, Biryani",3.9,250.0,medium,5th Block,Koramangala,2
Wok Paper Scissors,"Pan-Asian, Chinese, Asian",3.9,109.5,low,JNC Road,Koramangala,3
Savoury Restaurant,"Arabian, Middle Eastern, North Indian, Grill, Seafood, Kerala, Chinese",4.1,300.0,high,Madiwala,BTM,7
Royal Treat,"North Indian, Chinese, Seafood, Biryani",4.2,96.5,low,5th block Koramangala,Koramangala,4
Thali 99,North Indian,4.3,100.0,low,Koramangala,Koramangala,1
Mani's Dum Biryani,"Andhra, Biryani",4.2,200.0,medium,1st Block,Koramangala,2
